Date,Close-Last,Volume,Open,High,Low
2017-03-20,107.66,5301015,107.27,107.85,107.02
2017-03-21,108.04,7292742,108.06,108.23,107.4
2017-03-22,108.39,8103611,107.65,108.85,107.52
2017-03-23,107.87,5451076,108.29,108.86,107.75
2017-03-24,107.99,6332612,107.93,108.42,107.7
2017-03-27,106.28,6467238,107,107.35,105.82
2017-03-28,107.17,6331251,106.28,107.74,106.12
2017-03-29,108.07,4918261,106.95,108.0799,106.88
2017-03-30,107.78,6797633,108.15,108.68,107.2
2017-03-31,107.37,6155281,107.7,108.14,107.05
2017-04-03,107.8,5800871,107.22,107.97,106.38
2017-04-04,108.66,4686859,107.88,108.72,107.01
2017-04-05,108.64,6391122,109.65,110.67,108.56
2017-04-06,109.29,3929383,109.12,109.65,108.75
2017-04-07,108.86,4889410,109.38,109.58,108.665
2017-04-10,109.43,4812093,109.12,110.2,108.97
2017-04-11,108.97,3956317,109.53,109.54,108.06
2017-04-12,108.97,5051747,109.36,109.36,108.45
2017-04-13,106.1,6883287,108.64,108.735,105.93
2017-04-17,106.17,5266673,106.17,106.4837,105.65
2017-04-18,105.68,4244778,105.81,106.68,105.321
2017-04-19,104.23,6659707,105.89,106.14,103.83
2017-04-20,104.88,4973573,104.4,105.69,104.36
2017-04-21,104.89,5425278,104.8,105.43,104.29
2017-04-24,105.93,4537551,105.79,106.41,105.37
2017-04-25,106.73,4612634,106.3,106.97,106.18
2017-04-26,106.08,6677812,106.4,107.48,105.97
2017-04-27,105.47,5776003,105.96,105.98,104.67
2017-04-28,106.7,6848338,107.05,107.6,105.99
2017-05-01,105.92,4954402,106.26,106.73,105.76
2017-05-02,105.36,5001880,106.11,106.53,105.09
2017-05-03,106.72,5656165,105.36,107.26,105.13
2017-05-04,104.81,8034112,106.24,106.33,104.14
2017-05-05,105.79,5059798,104.92,105.885,104.7
2017-05-08,106.68,5163307,105.93,106.72,105.82
2017-05-09,105.08,5022543,106.51,106.75,104.815
2017-05-10,106.5,5582598,105.819,106.83,105.54
2017-05-11,106.21,4631113,107.08,107.08,105.63
2017-05-12,105.96,4488149,106.06,106.2887,105.48
2017-05-15,106.85,6337248,107.15,107.71,106.675
2017-05-16,107.25,4988160,107.57,107.66,106.94
2017-05-17,104.7,6378211,105.53,106.27,104.62
2017-05-18,105.17,5617854,104.55,105.68,103.84
2017-05-19,106.52,8379408,105.52,106.52,105.17
2017-05-22,106.12,4491132,107.09,107.09,105.75
