Date,Close-Last,Volume,Open,High,Low
2023-06-13,158.51,7660771,158.52,160.58,158.27
2023-06-14,157.09,7721057,159.98,160.77,156.145
2023-06-15,158.28,7705434,157.32,159.79,157.32
2023-06-16,157.26,22875220,158.57,159.24,157.26
2023-06-20,153.68,10443230,156.15,156.57,152.24
2023-06-21,154.88,7328152,152.67,155.96,152.5
2023-06-22,152.64,7089588,153.35,153.585,151.974
2023-06-23,151.35,15172660,151.01,151.7,150.13
2023-06-26,154.01,7371817,151.62,154.97,151.54
2023-06-27,153.53,6581662,153.5,154.71,152.8192
2023-06-28,154.92,5773828,153.44,155.02,152.19
2023-06-29,156.24,5633479,155.43,156.27,154.44
2023-06-30,157.35,6346777,157.46,157.92,156.605
2023-07-03,157.21,3272586,157.18,158.1,156.7
2023-07-05,156.31,6320294,157.7,157.7,155.12
2023-07-06,152.88,9206088,155.195,155.83,151.63
2023-07-07,154.22,6602217,152.14,155.99,151.96
2023-07-10,155.25,5167916,153.93,155.79,153.92
2023-07-11,158.12,5061517,156,158.405,155.66
2023-07-12,159.64,6463957,159.22,160.34,158.33
2023-07-13,157.51,8143855,159.84,160.6,156.57
2023-07-14,153.58,7065664,157.01,157.02,153.3
2023-07-17,153.44,4353317,153.35,154.14,152.64
2023-07-18,153.75,6798680,152.67,156.07,152.37
2023-07-19,154.69,5653115,153.83,155.7787,153.28
2023-07-20,156.4,5866574,156.16,157.19,155.71
2023-07-21,158.69,8760132,157.53,158.83,157.0595
2023-07-24,161.82,9722057,160.47,164.04,160.01
2023-07-25,162.56,6767564,161.91,163.51,160.66
2023-07-26,161.34,6056366,160.88,162.086,160.55
2023-07-27,159.66,6470137,162.09,162.47,159.22
2023-07-28,158.87,6546464,158.41,159,156.51
2023-07-31,163.66,13062490,161.13,163.9771,160.62
2023-08-01,162.3,7534939,163.64,163.64,160.5525
2023-08-02,159.73,7071269,161.17,161.22,158.06
2023-08-03,159.67,6682224,159.91,161.7,158.855
2023-08-04,159.31,10185370,160.66,163.02,159.04
2023-08-07,159.89,13927390,161.01,161.38,159.08
2023-08-08,159.65,6451267,157.94,159.79,156.22
2023-08-09,159.86,10531480,160.86,161.44,159.31
2023-08-10,160.83,8647064,160.33,162.4799,159.6188
2023-08-11,164.15,6682611,160.5,164.17,160.18
2023-08-14,164.03,6060083,163.77,164.25,162.6101
2023-08-15,159.24,7876471,163.4,163.41,159.1
2023-08-16,158.63,7920458,160.52,161.83,158.47
2023-08-17,159.75,8270458,159.18,162.14,158.97
2023-08-18,160.9,5999190,158.38,161.32,158.16
2023-08-21,160.36,6802337,161.2,162.07,159.45
2023-08-22,159.04,6081658,160.49,161.25,158.97
2023-08-23,159.25,4975570,158.14,159.405,156.7
2023-08-24,157.94,5989609,157.73,159.89,157.56
2023-08-25,159.12,5291847,159.07,159.91,157.645
2023-08-28,160.21,4386082,159.53,161.8,159.215
2023-08-29,159.96,5374765,160.91,160.95,159.1
2023-08-30,160.18,5534892,160.59,161.25,159.93
2023-08-31,161.1,7003681,161.01,161.24,159.93
2023-09-01,164.3,6663003,162.64,164.69,162.64
